filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,svg_fill_r,diff_fill_r,svg_fill_g,diff_fill_g,svg_fill_b,diff_fill_b,svg_stroke_r,diff_stroke_r,svg_stroke_g,diff_stroke_g,svg_stroke_b,diff_stroke_b,rel_width,rel_height,rel_x_position,rel_y_position,nr_paths_svg,animated,animated_animation_ids,rel_position_to_animations,rel_x_position_to_animations,rel_y_position_to_animations
logo_162,13,-0.4813870439516406,-1.917774331611228,0.5943848934555005,0.12249719850191497,-1.1408759925403005,-0.3763761068747437,1.2259216531883013,2.1902147913501455,-0.28985487093477286,0.3035192699844294,0,1.0,1.0,-1.2980356450683386,-0.7363643162823148,0.3769692185133061,22,65,148,0.3734359646394627,-1.699072441707445,0.55670433002404,-1.2559857427328587,0.7001679139351913,-0.150106991568904,24.0,-2.0,27.071428571428573,37.92857142857143,32.857142857142854,115.14285714285714,0.21327398149445473,0.6606564213093353,-1.1013764832561217,-0.23356046988843593,-0.5362571856645781,1,"[13, 12]","(0.37783880128604197, 0.5750011443693608)",-0.5232537752159652,0.3457802967328988
logo_162,12,0.1799820890501305,-0.9759864817736591,-0.3122125029380036,-1.079168800726141,0.25084993721617155,-1.2715124625807404,-0.37215174883053065,0.33128572238970905,0.27609293453008127,0.10121935826853073,0,1.0,1.0,0.015112153762506755,0.3136627761438765,0.4643831941149672,157,157,156,0.3734359646394627,-0.28144925198887244,0.55670433002404,-0.11414349999877349,0.7001679139351913,-0.04872788053726938,24.0,133.0,27.071428571428573,129.92857142857142,32.857142857142854,123.14285714285714,-1.0525888994913668,-0.7922240814512113,-0.05440426466541932,-1.672736949318853,-0.5362571856645781,1,"[13, 12]","(0.9811229841632624, 0.10110537844888261)",1.9100668189786727,-1.7665045105034831
logo_163,14,1.1876108200193958,1.703363610377223,-0.7052704992181564,-0.011213298151789633,0.7600214968101616,0.7625094119306519,-1.3889411465936954,-1.0822962829055265,2.330217979350678,-1.5296583463773408,0,1.0,1.0,-0.8797737535888841,0.4163828177942648,-0.7812659582087035,0,0,0,-0.9394440628241595,-0.20069223430296426,0.5218676541618307,0.02604541303255408,-1.0215428023035633,-0.04921063820884877,0.0,0.0,0.0,0.0,0.0,0.0,-0.0677107488584725,1.1820352843996218,2.012117646659306,-0.4953633455418435,-0.4805084707197303,1,"[14, 13]","(0.8579141555909481, 0.41206589492431)",1.4131093510706745,-0.38046728072235836
logo_163,13,0.782827981647635,0.7522002521874681,0.04493828552086297,0.08331870081419322,-0.6487826130404485,-0.5646962146190077,-0.9453860712759093,-0.45126680644159833,1.6200105788486239,-1.218555829429267,0,1.0,1.0,-0.8797737535888841,0.4163828177942648,-0.7812659582087035,0,0,0,-0.9394440628241595,-0.20069223430296426,0.5218676541618307,0.02604541303255408,-1.0215428023035633,-0.04921063820884877,0.0,0.0,0.0,0.0,0.0,0.0,-0.06771074885847081,1.1834661287306487,0.8978752655758427,0.2051788794569078,-0.4805084707197303,1,"[14, 13]","(0.5519515980830295, 0.58769124908929)",0.17902264141132304,0.40234361155821696
logo_164,13,-0.7802577615531888,-0.42768760344642825,0.9953846404768766,0.4050465650770995,-0.7836351927373219,-0.4610071195918568,-0.8141229958052487,-0.5463846299849344,1.863114359065192,-1.1095211859620906,0,1.0,1.0,-0.8797737535888841,0.4163828177942648,-0.7812659582087035,0,0,0,-0.9394440628241595,-0.20069223430296426,0.5218676541618307,0.02604541303255408,-1.0215428023035633,-0.04921063820884877,0.0,0.0,0.0,0.0,0.0,0.0,0.1394576991811285,0.8242666135142772,-1.13770326619572,-0.14136607866450285,-0.4805084707197303,1,"[13, 14]","(0.240774666802867, 0.5877015448964448)",-1.0760960187714388,0.402389502825021
logo_164,14,-0.11970872000855444,0.6035798962255404,-0.28572314516742164,0.2581638609341887,-0.4120807389967303,1.020816219877702,-1.0793955433018596,-1.6999687838960467,2.6206068042360813,-1.1640185655717172,0,1.0,1.0,-0.8797737535888841,0.4163828177942648,-0.7812659582087035,0,0,0,-0.9394440628241595,-0.20069223430296426,0.5218676541618307,0.02604541303255408,-1.0215428023035633,-0.04921063820884877,0.0,0.0,0.0,0.0,0.0,0.0,0.1394376770129855,0.8231658111817398,0.19602612669657515,-0.7383262930871151,-0.4805084707197303,1,"[13, 14]","(0.759229163461919, 0.4120792012413142)",1.0150677141422064,-0.38040797077854904
logo_165,1,-0.024893329216128683,-0.17868893193086827,0.4682819417297633,0.3028379018531594,-0.7570468538646881,0.2030882803948403,-0.917781290990727,-1.4904370353519625,2.699432005725797,-1.0890364241654409,0,1.0,1.0,-0.8797737535888841,0.4163828177942648,-0.7812659582087035,0,0,0,-0.9394440628241595,-0.20069223430296426,0.5218676541618307,0.02604541303255408,-1.0215428023035633,-0.04921063820884877,0.0,0.0,0.0,0.0,0.0,0.0,-0.09218836744685786,2.2053421107889086,-0.2241884673316695,0.1974390835792036,-0.4805084707197303,1,"[1, 0]","(0.7520507527713681, 0.46328269219028856)",0.9861139058663156,-0.1521798164313476
logo_165,0,-0.024458488637263357,-1.9399321762179524,1.6008887137742749,0.5245867427064014,-0.059758466503290836,-0.4123964148947819,-0.017572441917217806,0.9084525605474305,0.6923446138650101,-0.6659083121889351,0,1.0,1.0,-0.8797737535888841,0.4163828177942648,-0.7812659582087035,0,0,0,-0.9394440628241595,-0.20069223430296426,0.5218676541618307,0.02604541303255408,-1.0215428023035633,-0.04921063820884877,0.0,0.0,0.0,0.0,0.0,0.0,0.06917928032933342,-0.1450253712064318,-1.1722889807150552,2.159044420847389,-0.4805084707197303,1,"[1, 0]","(0.2869094958084232, 0.8522361615608204)",-0.8900131863101819,1.5814936264563457
logo_166,14,0.20803821125993494,1.7235202801723513,-0.4751993211964305,0.220339725956965,-0.08144018534213636,1.209783787194016,-1.0611688204766707,-1.3975850106393293,2.9092411428469718,-1.4559507065212527,0,1.0,1.0,-0.8797737535888841,0.4163828177942648,-0.7812659582087035,0,0,0,-0.9394440628241595,-0.20069223430296426,0.5218676541618307,0.02604541303255408,-1.0215428023035633,-0.04921063820884877,0.0,0.0,0.0,0.0,0.0,0.0,0.9780509350747401,0.7338561004155473,1.4974729570562841,-0.7987910363755356,-0.4805084707197303,1,"[14, 13]","(0.7592326871605282, 0.4120742344822002)",1.0150819268277644,-0.38043010900085894
logo_166,13,-0.5392760122390569,0.46331428378728173,0.6777219598426374,0.47699552777564397,-0.9250726389547366,-0.8686399541463453,-0.9783243686950972,-0.8145139422890001,1.9387105090308565,-1.0463459238212796,0,1.0,1.0,-0.8797737535888841,0.4163828177942648,-0.7812659582087035,0,0,0,-0.9394440628241595,-0.20069223430296426,0.5218676541618307,0.02604541303255408,-1.0215428023035633,-0.04921063820884877,0.0,0.0,0.0,0.0,0.0,0.0,0.9781077398782739,0.73497419227002,-0.724983239720063,-0.2276047182868127,-0.4805084707197303,1,"[14, 13]","(0.24077383424064175, 0.5876930238206068)",-1.0760993768750755,0.4023515220277062
